stop_id,stop_name,stop_lat,stop_lon
STOP1,Koper,45.538748796404434,13.737740014798339
STOP2,Koper Tržnica,45.54546477401052,13.726699650108952
STOP3,Izola,45.53677727236008,13.660739262740565
STOP4,Izola reš.pos.,45.53429391580614,13.658735850436118
STOP5,Simonov zaliv,45.530826179163675,13.651135358477084
STOP6,Belvedere,45.53068623697237,13.637128291901446
STOP7,Strunjan,45.52549471788398,13.610516582561717
STOP8,Lucija TPC,45.502565039717204,13.602918123425061
STOP9,Koper Zeleni park,45.54605397848091,13.727055448984316
STOP10,Koper Banka,45.54451426183655,13.730352356932572
STOP11,Piran,45.5285,13.5681
